code,name,market,signalDate,drawdownPct,leaderScore,leaderGrade,rs20,risk,stabilize,liquidityScore,entryPrice,r3,r5,r10,r20,mfe,mae,excessPct,scoutStatus,reboundState,rankingTier,signalsForThisCodeInBucket
086520,에코프로,KOSDAQ,20260720,-60.27,7.2,D,17,55,44,0,,8.39308762169681,0.8826564673157091,13.817287899860915,,17.94158553546592,-11.821974965229487,8.22,정찰병 1주,early,6,2
101490,에스앤에스텍,KOSDAQ,20260720,-62.32,4.5,D,26,55,29,1,,-3.007777777777779,-0.4825252525252486,5.578080808080817,,8.585858585858585,-19.444444444444443,-0.01,정찰병 1주,falling,6,1
232140,와이씨,KOSDAQ,20260720,-60.08,6.8,D,27,55,40,0,,-4.043559322033899,-13.577457627118642,-3.302033898305082,,7.203389830508478,-27.7542372881356,-8.89,정찰병 1주,early,6,1
307950,현대오토에버,KOSPI,20260720,-60.39,13,D,1,45,26,0,,3.46357045143639,-6.796347469220247,7.567537619699035,,19.288645690834482,-16.552667578659374,4.49,관찰 목록,falling,4,1
388720,유일로보틱스,KOSDAQ,20260720,-61.84,10.2,D,46,40,44,0,,4.50684210526315,2.927894736842115,23.27877192982457,,24.385964912280713,-5.6140350877192935,17.69,정찰병 1주,early,6,1
454910,두산로보틱스,KOSPI,20260720,-62.93,6.9,D,4,55,40,0,,5.835573770491794,-1.213606557377048,12.065081967213118,,23.934426229508187,-11.147540983606552,8.98,정찰병 1주,early,6,1
100790,미래에셋벤처투자,KOSDAQ,20260721,-80.22,19.2,D,10,55,25,0,,-1.6898540145985383,-20.157007299270074,6.704306569343062,,10.948905109489049,-27.00729927007299,3.76,정찰병 1주,falling,4,3
950160,코오롱티슈진,KOSDAQ,20260721,-69.09,2.7,D,0,55,25,0,,-47.2849084858569,-56.30321131447587,-38.13349417637271,,0,-61.83028286189685,-41.07,정찰병 1주,falling,6,1
010170,대한광통신,KOSDAQ,20260722,-65.33,39.1,D,20,40,40,45,,-18.429419167473373,-30.917318489835434,6.933601161665056,,23.523717328170378,-33.10745401742498,1.05,관찰 목록,early,4,2
043260,성호전자,KOSDAQ,20260722,-66.15,25.8,D,2,55,27,20,,-18.018724685276414,-35.36957307060755,-4.991904761904768,,9.35960591133005,-35.467980295566505,-10.88,관찰 목록,falling,4,2
065350,신성델타테크,KOSDAQ,20260722,-78.64,3.7,D,19,70,3,4,,-0.8047126436781658,-5.019272030651337,22.37536398467432,,28.735632183908045,-13.409961685823756,16.49,추가매수 금지,risk,6,14
068760,셀트리온제약,KOSDAQ,20260722,-60.02,14.5,D,77,30,42,8,,4.494409448818889,1.3448031496062964,13.811994750656172,,15.223097112860895,-2.887139107611547,7.93,정찰병 1주,falling,2,1
001440,대한전선,KOSPI,20260724,-61.13,26,D,24,55,42,1,,-28.381986183074265,-17.501157167530227,-0.40271157167529914,,1.7271157167530138,-29.01554404145078,-1.43,정찰병 1주,early,6,2
038500,삼표시멘트,KOSDAQ,20260724,-63.37,29,D,64,30,53,0,,-17.854020887728463,-9.23783289817232,7.994543080939938,,8.224543080939938,-23.23759791122716,-5.48,하락 정지 확인,stopped,6,2
090710,휴림로봇,KOSDAQ,20260724,-69.49,8.4,D,54,40,53,4,,-18.732202643171806,-2.726328928046987,7.993201174743021,,14.390602055800294,-19.23641703377387,-5.48,하락 정지 확인,stopped,6,3
214370,케어젠,KOSDAQ,20260724,-62.23,11.2,D,53,40,49,8,,-14.788058925476603,1.8497227036395194,21.087157712305025,,23.05025996533796,-16.811091854419413,7.61,관찰 목록,stopped,4,2
298380,에이비엘바이오,KOSDAQ,20260724,-70.51,5.8,D,36,40,41,0,,-17.956657645466848,-4.154221921515559,26.42764546684708,,27.875507442489855,-19.07983761840325,12.95,정찰병 1주,early,2,4
323280,태성,KOSDAQ,20260724,-64.6,6.9,D,29,55,26,0,,-27.01843226788432,14.686286149162871,38.734992389649925,,42.00913242009132,-27.549467275494678,25.26,관찰 목록,falling,6,2
347700,스피어,KOSDAQ,20260724,-67.82,12.3,D,69,40,60,2,,-25.975412844036697,-8.544220183486242,43.69201834862386,,51.66284403669725,-31.19266055045872,30.22,관찰 목록,stopped,6,3
475830,오름테라퓨틱,KOSDAQ,20260724,-68.34,10.3,D,68,55,55,0,,-19.114120171673825,3.7399570815450613,49.77,,56.22317596566524,-22.532188841201716,36.29,정찰병 1주,early,4,4
476830,알지노믹스,KOSDAQ,20260724,-77.37,,계산불가,4,70,19,0,,-24.215239852398522,-2.2595202952029467,35.93236162361624,,39.29889298892988,-26.236162361623617,22.46,추가매수 금지,risk,6,4
272210,한화시스템,KOSPI,20260727,-61.28,3.2,D,20,55,46,0,,3.075785123966931,13.984876033057844,20.265867768595044,,27.933884297520663,-16.198347107438018,14.6,관찰 목록,early,6,2
006800,미래에셋증권,KOSPI,20260728,-60.56,15.1,D,26,55,29,0,,0.07165912518853587,5.954012066365007,9.875580693815996,,12.06636500754148,-12.82051282051282,-0.71,관찰 목록,falling,6,1
028300,HLB,KOSDAQ,20260728,-68.03,5.2,D,12,40,29,5,,2.257562189054726,15.524560530679938,37.746782752902156,,41.79104477611941,-5.306799336650081,13.14,정찰병 1주,falling,2,8
087010,펩트론,KOSDAQ,20260728,-62.95,15.7,D,46,40,51,0,,15.923846153846164,19.700069930069937,30.11965034965036,,37.2027972027972,-15.944055944055947,5.52,관찰 목록,stopped,6,2
131970,두산테스나,KOSDAQ,20260728,-65.07,29.3,D,6,40,25,51,,-3.36432835820896,2.9043283582089487,25.740149253731335,,28.059701492537314,-24.477611940298505,1.14,정찰병 1주,falling,6,1
183300,코미코,KOSDAQ,20260728,-60.92,28.1,D,13,40,26,0,,-0.23,-0.23,-0.23,,0,0,-24.83,관찰 목록,falling,6,1
281740,레이크머티리얼즈,KOSDAQ,20260728,-61.13,7.3,D,42,30,37,0,,2.822728954671591,13.090999074930629,22.526706753006472,,28.12210915818687,-14.893617021276595,-2.08,정찰병 1주,early,6,1
403870,HPSP,KOSDAQ,20260728,-60.84,26,D,19,40,27,7,,3.1185540334855513,11.185525114155244,17.42601217656012,,18.87366818873668,-16.43835616438356,-7.18,정찰병 1주,falling,6,1
491000,리브스메드,KOSDAQ,20260728,-62.21,,계산불가,80,55,87,0,,19.596338639652686,36.81775687409552,29.147713458755415,,49.059334298118664,-13.458755426917513,4.55,정찰병 1주,early,6,3
000500,가온전선,KOSPI,20260729,-60.95,58.9,C,3,40,45,3,,28.166143733567047,35.703391761612615,46.13283961437335,,56.00350569675723,-6.748466257668717,24.75,관찰 목록,stopped,6,1
007660,이수페타시스,KOSPI,20260729,-60.35,1.2,D,7,55,26,24,,31.55807947019868,37.35278145695364,60.03490066225166,,62.74834437086092,-4.139072847682124,38.65,관찰 목록,falling,6,1
032820,우리기술,KOSDAQ,20260729,-72.42,21.5,D,50,40,50,14,,44.496301735647535,49.836755674232315,56.77934579439252,,64.21895861148197,0,15.37,하락 정지 확인,stopped,6,3
036540,SFA반도체,KOSDAQ,20260729,-63.4,13.3,D,56,25,48,7,,33.368937583001326,35.759375830013276,65.24144754316069,,70.78353253652058,0,23.83,하락 정지 확인,stopped,6,1
062040,산일전기,KOSPI,20260729,-61.68,19.1,D,6,55,25,10,,23.776488240064882,30.670243309002426,52.24364152473642,,60.50283860502839,-3.649635036496346,30.86,관찰 목록,falling,6,1
066570,LG전자,KOSPI,20260729,-61.66,56.9,C,30,30,41,20,,14.541151178918163,21.26791955617197,42.973883495145635,,47.36477115117892,0,21.59,정찰병 1주,early,2,1
099320,쎄트렉아이,KOSDAQ,20260729,-71.36,8.2,D,55,40,50,34,,25.71501718213058,27.776872852233666,40.4916494845361,,48.453608247422686,-2.0618556701030966,-0.92,하락 정지 확인,stopped,2,3
