strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_A + Stab_80~89,"leaderGrade in [A] AND scoutStabilizeScore between [80,89]",5,cooldown,36,55,91,1.04,5.49,3.73,-4.45,1.25,2.5,63.64,3.17,0.63,16.08,-8.45,85.45,70.91,69.09,56.36,-60.85,false,leaderGrade×stab,2.56,유망
Leader_A + Stab_80~89,"leaderGrade in [A] AND scoutStabilizeScore between [80,89]",10,cooldown,31,44,75,4.17,8.48,6.7,-4.31,1.94,2.54,59.09,4.57,1.22,23.59,-10.38,84.09,77.27,75,61.36,-70.13,false,leaderGrade×stab,5.57,유망
Leader_A + Stab_90+,"leaderGrade in [A] AND scoutStabilizeScore between [90,100]",5,cooldown,65,71,136,3.46,5.18,4.35,-1.72,2.23,2.25,56.34,3.4,2.31,17.16,-7.64,88.73,80.28,70.42,45.07,-52.71,false,leaderGrade×stab,2.56,유망
Leader_A + Stab_90+,"leaderGrade in [A] AND scoutStabilizeScore between [90,100]",10,cooldown,40,48,88,6.22,11.11,8.88,-4.89,2.93,4.08,58.33,5.91,3.21,26.4,-9.23,95.83,85.42,81.25,56.25,-37.17,false,leaderGrade×stab,5.57,유망
Leader_AB + Stab_<45,"leaderGrade in [A,B] AND scoutStabilizeScore lt 45",5,cooldown,15,11,26,-3.59,5.33,0.18,-8.92,0.27,5.83,54.55,4.55,-1.7,11.31,-5.23,81.82,72.73,63.64,54.55,-6.56,false,leaderGrade×stab,2.56,유망
Leader_AB + Stab_<45,"leaderGrade in [A,B] AND scoutStabilizeScore lt 45",10,cooldown,13,11,24,-0.62,15.84,6.93,-16.46,0.86,14.98,81.82,13.76,1.57,23.08,-7.39,100,100,63.64,54.55,-9.28,false,leaderGrade×stab,5.57,유망
Leader_AB + Stab_45~64,"leaderGrade in [A,B] AND scoutStabilizeScore between [45,64]",5,cooldown,33,47,80,0.04,3.42,2.03,-3.38,1.02,2.13,61.7,3.34,1.65,11.17,-7.25,80.85,70.21,70.21,57.45,-53.23,false,leaderGrade×stab,2.56,유망
Leader_AB + Stab_45~64,"leaderGrade in [A,B] AND scoutStabilizeScore between [45,64]",10,cooldown,26,37,63,2.69,8.22,5.93,-5.53,2.03,2.8,64.86,3.11,3.86,21.21,-10.22,89.19,83.78,78.38,70.27,-70.13,false,leaderGrade×stab,5.57,유망
Leader_AB + Stab_65~79,"leaderGrade in [A,B] AND scoutStabilizeScore between [65,79]",5,cooldown,47,84,131,1.1,4.46,3.26,-3.36,1.26,2.17,58.33,1.55,1.25,12.25,-7.64,78.57,65.48,69.05,48.81,-74.03,false,leaderGrade×stab,2.56,유망
Leader_AB + Stab_65~79,"leaderGrade in [A,B] AND scoutStabilizeScore between [65,79]",10,cooldown,40,59,99,2.61,5.27,4.2,-2.66,1.58,2.06,57.63,2.98,0.71,18.6,-10.19,89.83,77.97,77.97,54.24,-75.13,false,leaderGrade×stab,5.57,역효과
Leader_AB + Stab_80~89,"leaderGrade in [A,B] AND scoutStabilizeScore between [80,89]",5,cooldown,68,103,171,2.14,4.31,3.45,-2.17,1.76,2.38,60.19,2.52,-0.12,13.31,-7.82,84.47,69.9,67.96,57.28,-74.93,false,leaderGrade×stab,2.56,유망
Leader_AB + Stab_80~89,"leaderGrade in [A,B] AND scoutStabilizeScore between [80,89]",10,cooldown,54,74,128,4.13,5.82,5.11,-1.69,2.04,2.22,55.41,1.89,-2.01,19.27,-10.71,89.19,82.43,77.03,63.51,-80.07,false,leaderGrade×stab,5.57,유망
Leader_AB + Stab_90+,"leaderGrade in [A,B] AND scoutStabilizeScore between [90,100]",5,cooldown,85,91,176,3.47,5.42,4.48,-1.95,2.34,2.42,57.14,3.82,1.61,16.41,-7.57,82.42,73.63,69.23,49.45,-56.33,false,leaderGrade×stab,2.56,유망
